"gbifid","species","decimallatitude","decimallongitude","taxonkey"
1038025607,"Panthera pardus",-1.999983,35.183106,"5219436"
1265592155,"Panthera pardus",22.370417,80.651878,"5219442"
1436990905,"Panthera pardus",0.46667,25.55,"5219436"
1436990912,"Panthera pardus",0.46667,25.55,"5219436"
1052779422,"Panthera pardus",-1.382322,35.021178,"5219436"
197163332,"Panthera pardus",5.403,-7.732,"5219436"
1135440843,"Panthera pardus",-1.432193,34.921074,"5219436"
665718386,"Panthera pardus",27.3775,60.73972,"5787215"
665739414,"Panthera pardus",37.3707,56.7667,"5787215"
1132390814,"Panthera pardus",-3.948889,36.139167,"5219436"
1132390815,"Panthera pardus",-3.948372,36.139475,"5219436"
1132390823,"Panthera pardus",-2.491447,34.903153,"5219436"
865739312,"Panthera pardus",-18.36025,25.9076,"5219436"
1059618258,"Panthera pardus",-1.497773,35.191262,"5219436"
891148554,"Panthera pardus",6.594673,81.578659,"5219437"
1562940325,"Panthera pardus",-20.166315,21.947493,"7193915"
665845294,"Panthera pardus",-15.06667,13.55,"9100912"
665892731,"Panthera pardus",28.89667,51.29333,"5787215"
665899091,"Panthera pardus",6.71667,80.76667,"5219442"
665914026,"Panthera pardus",27.3775,60.73972,"5787215"
1453771033,"Notomys aquilo",-14.101579,136.583377,"2438978"
233875742,"Myrmecophaga tridactyla",-24.30705,-61.81408,"2436346"
699207879,"Myrmecophaga tridactyla",-24.31642,-61.80324,"2436346"
699207886,"Myrmecophaga tridactyla",-24.31641,-61.79945,"2436346"
699207895,"Myrmecophaga tridactyla",-25.62478,-54.38405,"2436346"
699207896,"Myrmecophaga tridactyla",-25.66906,-54.4988,"2436346"
699207897,"Myrmecophaga tridactyla",-25.70538,-54.44097,"2436346"
699207899,"Myrmecophaga tridactyla",-25.70538,-54.44097,"2436346"
699207900,"Myrmecophaga tridactyla",-25.66549,-54.51094,"2436346"
699207918,"Myrmecophaga tridactyla",-25.09123,-58.13065,"2436346"
699207947,"Myrmecophaga tridactyla",-25.06986,-58.13748,"2436346"
699207943,"Myrmecophaga tridactyla",-25.11016,-58.15219,"2436346"
699207945,"Myrmecophaga tridactyla",-25.04403,-58.14048,"2436346"
699207948,"Myrmecophaga tridactyla",-25.06986,-58.13748,"2436346"
699207949,"Myrmecophaga tridactyla",-25.08919,-58.00455,"2436346"
699207955,"Myrmecophaga tridactyla",-25.12037,-58.17324,"2436346"
699207967,"Myrmecophaga tridactyla",-25.09254,-58.16427,"2436346"
699207968,"Myrmecophaga tridactyla",-25.09254,-58.16427,"2436346"
440649123,"Panthera leo",47.4911,2.3208,"5219404"
673100703,"Panthera leo",1.78722,31.577289,"5219404"
1038025605,"Panthera leo",-2.557311,34.863039,"5219404"
735670162,"Panthera leo",34.419444,-119.663056,"5219404"
735674528,"Panthera leo",34.419444,-119.663056,"5219404"
235039627,"Panthera leo",50.2644,19.0232,"5219404"
235039628,"Panthera leo",50.2644,19.0232,"5219404"
235039629,"Panthera leo",50.2644,19.0232,"5219404"
235039630,"Panthera leo",50.2644,19.0232,"5219404"
621072312,"Panthera leo",40.48417,-88.99361,"5219404"
621072724,"Panthera leo",40.48417,-88.99361,"5219404"
699207887,"Myrmecophaga tridactyla",-24.31158,-61.81217,"2436346"
197156671,"Myrmecophaga tridactyla",4.27,-54.738,"2436346"
197156814,"Myrmecophaga tridactyla",-4.283,-78.633,"2436346"
197163297,"Pan troglodytes",10.754,-14.45,"5707422"
197163298,"Pan troglodytes",10.735,-14.559,"5707422"
197163299,"Pan troglodytes",10.874,-14.378,"5707422"
197163301,"Pan troglodytes",11.109,-13.957,"5707422"
1638729604,"Myrmecophaga tridactyla",7.687639,-74.33225,"2436346"
1638729609,"Myrmecophaga tridactyla",7.695389,-74.335639,"2436346"
665719012,"Myrmecophaga tridactyla",-4.45,-71.783333,"2436346"
665726000,"Myrmecophaga tridactyla",-4.45,-71.783333,"2436346"
1321268733,"Myrmecophaga tridactyla",3.65,-65.77,"7193860"
1321283897,"Myrmecophaga tridactyla",3.65,-65.77,"7193860"
382064875,"Myrmecophaga tridactyla",-26.66935,-60.82363,"2436346"
382065009,"Myrmecophaga tridactyla",-25.08919,-58.00455,"2436346"
382064987,"Myrmecophaga tridactyla",-25.71493,-54.44057,"2436346"
382064993,"Myrmecophaga tridactyla",-25.11016,-58.15219,"2436346"
382064995,"Myrmecophaga tridactyla",-25.06625,-58.04924,"2436346"
382064996,"Myrmecophaga tridactyla",-25.04403,-58.14048,"2436346"
382064999,"Myrmecophaga tridactyla",-25.08551,-58.20625,"2436346"
382065004,"Myrmecophaga tridactyla",-25.06986,-58.13748,"2436346"
382065006,"Myrmecophaga tridactyla",-25.06986,-58.13748,"2436346"
382065012,"Myrmecophaga tridactyla",-25.01143,-58.13254,"2436346"
382065016,"Myrmecophaga tridactyla",-25.02949,-58.14924,"2436346"
382065023,"Myrmecophaga tridactyla",-25.15391,-58.12558,"2436346"
382065026,"Myrmecophaga tridactyla",-25.12037,-58.17324,"2436346"
382065028,"Myrmecophaga tridactyla",-25.12058,-58.00127,"2436346"
382065030,"Myrmecophaga tridactyla",-25.12058,-58.00127,"2436346"
382065031,"Myrmecophaga tridactyla",-24.93464,-58.25489,"2436346"
382065033,"Myrmecophaga tridactyla",-24.93464,-58.25489,"2436346"
382065035,"Myrmecophaga tridactyla",-25.0052,-58.18653,"2436346"
382065036,"Myrmecophaga tridactyla",-25.11401,-58.17225,"2436346"
382065039,"Myrmecophaga tridactyla",-25.06507,-58.05715,"2436346"
382065044,"Myrmecophaga tridactyla",-25.0579,-58.06471,"2436346"
382065045,"Myrmecophaga tridactyla",-25.0948,-58.21044,"2436346"
382065046,"Myrmecophaga tridactyla",-25.07115,-58.13772,"2436346"
382065048,"Myrmecophaga tridactyla",-24.98733,-58.31249,"2436346"
382065050,"Myrmecophaga tridactyla",-25.09254,-58.16427,"2436346"
382065052,"Myrmecophaga tridactyla",-25.09254,-58.16427,"2436346"
382065056,"Myrmecophaga tridactyla",-25.06855,-58.13029,"2436346"
382065057,"Myrmecophaga tridactyla",-24.98733,-58.31249,"2436346"
382069597,"Myrmecophaga tridactyla",-25.62478,-54.38405,"2436346"
382069607,"Myrmecophaga tridactyla",-25.66906,-54.4988,"2436346"
382069654,"Myrmecophaga tridactyla",-25.70538,-54.44097,"2436346"
382069658,"Myrmecophaga tridactyla",-25.66335,-54.50561,"2436346"
382069711,"Myrmecophaga tridactyla",-25.70538,-54.44097,"2436346"
382069716,"Myrmecophaga tridactyla",-25.66549,-54.51094,"2436346"
382069733,"Myrmecophaga tridactyla",-25.11969,-58.11759,"2436346"
382069746,"Myrmecophaga tridactyla",-25.8875,-54.5619,"2436346"
1318479415,"Myrmecophaga tridactyla",6.82,-63.48,"7193860"
1320060475,"Myrmecophaga tridactyla",6.82,-63.48,"7193860"
665904749,"Myrmecophaga tridactyla",3.283333,-73.883333,"2436346"
665904750,"Myrmecophaga tridactyla",3.283333,-73.883333,"2436346"
665904751,"Myrmecophaga tridactyla",3.283333,-73.883333,"2436346"
665904760,"Myrmecophaga tridactyla",3.283333,-73.883333,"2436346"
665914019,"Myrmecophaga tridactyla",0.116667,-78.833333,"2436346"
665915619,"Gazella gazella",14.766667,44.35,"5706422"
665915620,"Gazella gazella",14.766667,44.35,"5706422"
1249283121,"Gazella gazella",33.170705,35.765625,"5220154"
686432079,"Ursus thibetanus",16.078061477645,101.239817634511,"7193951"
919445129,"Ursus thibetanus",11.93333,108.41666,"2433425"
380185733,"Ursus thibetanus",37.1417,138.752,"6163862"
380185734,"Ursus thibetanus",37.1417,138.752,"6163862"
1324636522,"Ursus thibetanus",37.556153,140.830917,"2433425"
1275217358,"Ursus thibetanus",37.556153,140.830917,"2433425"
1325930792,"Ursus thibetanus",35.6611000346576,136.0889,"6163862"
1325930800,"Ursus thibetanus",35.6611000346576,136.0889,"6163862"
1325930801,"Ursus thibetanus",35.6611000346576,136.0889,"6163862"
1325930802,"Ursus thibetanus",35.6611000346576,136.0889,"6163862"
1317965565,"Myrmecophaga tridactyla",6.55,-67.22,"7193860"
1427432454,"Myrmecophaga tridactyla",6.816306,-70.070056,"2436346"
